ques,ans,explanation
"1. Following statements about JVP are true
A. external jugular vein is a reliable guide to atrial pressure
B. JVP is measured from supra-sternal notch
C. normal JVP rises on abdominal compression
D. normal JVP falls during inspiration
E. JVP is more palpable than visible",FFTTF,Explanation 1
"2. Cardiothoracic ratio increases in
A. neonates
B. congestive heart failure
C. chronic emphysema
D. addison's disease
E. acromegaly",TTFFT,Explanation 2
"3. In auscultation of the heart, pan-systolic murmur is heard in
A. tricuspid regurgitation
B. mitral valve prolapse
C. ventricular septal defect
D. atrial septal defect
E. aortic regurgitation",TFTFF,Explanation 3
"4. Infective endocarditis is associated with
A. Roth spots
B. Osler's nodes
C. café-au lait lesion
D. clubbing
E. malar flush",TTFTF,Explanation 4
"5. Complications of mitral stenosis include
A. cerebral embolism
B. hoarseness of voice
C. frank haemoptysis
D. left ventricular hypertrophy
E. pulmonary hypertension",TTTFT,Explanation 5
"6. Clinical feature of tricuspid regurgitation
A. pan-systolic murmur at tricuspid area
B. very high JVP with giant ""a"" wave
C. pulsatile liver
D. pan-systolic murmur louder at full inspiratory phase
E. mid-diastolic murmur at tricuspid area",TFTTT,Explanation 6
"7.  Disorders associated with aortic regurgitation include
A. ankylosing spondylitis
B. Marfan's syndrome
C. syphilitic aortitis
D. patent ductus arteriosus
E. Takayasu's arteritis",TTTFT,Explanation 7
"8. Collapsing pulse may be felt in
A. mitral stenosis
B. aortic regurgitation
C. severe anaemia
D. pericardial effusion
E. thyrotoxicosis",FTTFT,Explanation 8
"9. Left ventricular hypertrophy may be recognized by
A. displaced apex beat
B. heaving apex beat
C. left parasternal heave
D. epigastric pulsation
E. tracheal shift",TTFFF,Explanation 9
"10. Mid-diastolic murmur
A. best heard at the cardiac apex
B. best heard with the bell of the stethoscope
C. intensity increases after exercise
D. radiate to axilla
E. best heard with the patient sitting up",TTTFF,Explanation 10
"11. Pericardial rub
A. is characteristic of pericarditis
B. has a scratching character
C. is sometimes palpable
D. has both systolic and diastolic components
E. is altered by position",TTFTT,Explanation 11
"12. Clinical features of aortic regurgitation are
A. pan-systolic murmur at aortic area
B. bounding peripheral pulse
C. capillary pulsation at the nail bed
D. femoral bruit
E. head nodding with pulse",FTTTT,Explanation 12
"13. Recognized complications of heart failure are
A. hyponatraemia
B. hypoalbuminaemia
C. impaired liver function test
D. anaemia
E. sudden death",TFTFT,Explanation 13
"14. The pulse characteristics listed below are typical features of the following disorders
A. pulsus bisferiens- combined mitral stenosis and regurgitation
B. pulsus paradoxus- aortic regurgitation
C. collapsing pulse- severe anaemia
D. pulsus alternans- extrasystoles every alternate beat
E. slow rising pulse- mitral stenosis",FFTFF,Explanation 14
"15. Common causes of atrial fibrillation are
A. coronary artery disease
B. hypertensive heart disease
C. rheumatic mitral valve disease
D. thyrotoxicosis
E. pneumonia",TTTTT,Explanation 15
"16. Complications of systemic hypertension include
A. retinal microaneurysm
B. dissecting aneurysm
C. left ventricular hypertrophy
D. lacunar stroke of internal capsule
E. subdural haemorrhage",FTTTF,Explanation 16
"17. Mitral regurgitation are caused by
A. mitral valve prolapse
B. cardiomyopathy
C. myocardial infarction
D. infective endocarditis
E. rheumatic fever",TTTTT,Explanation 17
"18. Causes of irregular pulse are
A. sinus arrhythmia
B. sinus tachycardia
C. atrial extrasystoles
D. atrial fibrillation
E. ventricular extrasystoles",TFTTT,Explanation 18
"19. Causes of hypertension are
A. Addisons's disease
B. polycystic kidney disease
C. primary hypothyroidism
D. renal artery stenosis
E. pan-hypopituitarism",FTTTF,Explanation 19
"20. Causes of left ventricular hypertrophy are
A. pulmonary hypertension
B. aortic stenosis
C. tricuspid regurgitation
D. constrictive pericarditis
E. ischaemic heart disease",FTFFT,Explanation 20
"21. Third heart sound is heard in
A. heart failure
B. mitral stenosis
C. pregnancy
D. young people
E. early systole",TFTTF,Explanation 21
"22. Modifiable risk factors for ischaemic heart disease are
A. male sex
B. old age
C. hypertension
D. hypercholestrolaemia
E. diabetes mellitus",FFTTT,Explanation 22
"23. Clinical features of mitral stenosis are
A. wide pulse pressure
B. mid-diastolic murmur at left sternal edge
C. loud first heart sound
D. opening snap
E. atrial fibrillation",FFTTT,Explanation 23
"24. Features of right ventricular failure are
A. decreased JVP
B. ankle oedema
C. hepatomegaly
D. bilateral basal crepitations
E. right parasternal heave",FTTFF,Explanation 24
"25. In stable angina
A. chest pain is precipitated by exertion and relieved by rest
B. pain around the nipple area is the usual site
C. ECG changes are invariably present
D. CK-MB is typically raised
E. duration of symptom is usually more than 45 minutes",TFFFF,Explanation 25
"26. These are true for aortic stenosis
A. collapsing pulse
B. wide pulse pressure
C. pan-systolic murmur in aortic area
D. atrial fibrillation is a commonly associated finding
E. may present with angina pectoris",FFFFT,Explanation 26
